,0,1, 
25448,DSM 11124,"['104c', '220', '360', '514']",Pseudomonas viridiflava
25449,DSM 5550,"['220', '545']",Brevibacillus parabrevis
25450,DSM 10405,"['31', '104', '220', '693', '755', '1029']",Halobacillus litoralis
25451,DSM 41400,['252'],Streptomyces sp.
25452,DSM 25939,"['119', 'J242']",Methanobacterium flexile
25453,DSM 100421,['514'],Halocynthiibacter namhaensis
25454,DSM 44971,['65'],Pseudonocardia sp.
25455,DSM 22468,['381'],Chryseobacterium solincola
25456,DSM 101601,['220'],Paenibacillus cucumis
25457,DSM 30874,['92'],Staphylococcus warneri
25458,DSM 12782,['381'],Delftia sp.
25459,DSM 23025,['830'],Deinococcus aquatilis
25460,DSM 19176,"['1', 'J7', 'J22']",Aeromonas sobria
25461,DSM 45155,"['514', '1065', '1240', 'J275']",Streptomonospora flavalba
25462,DSM 1360,"['1a', '13', '90', '535', '830c', '937', 'J101']",Phycomyces blakesleeanus
25463,DSM 52473,['9'],Angiococcus sp.
25464,DSM 45951,['1259'],Thermoactinomyces khenchelensis
25465,DSM 1322,"['1', '1a', '104', '110', '142', '383', '457', '907', 'J12', 'J396']",Peribacillus simplex
25466,DSM 11416,"['930', '1592']",Natronincola histidinovorans
25467,DSM 18121,['220'],Sporosarcina sp.
25468,DSM 22292,['830'],Brucella ciceri
25469,DSM 14796,"['1005', 'J335']",Thermodesulfobium narugense
25470,DSM 41441,"['65', 'J44', 'J58']",Streptomyces inusitatus
25471,DSM 4854,"['736', 'J27', 'J28']",Cryobacterium psychrophilum
25472,DSM 41024,"['65', '84']",Streptomyces sp.
25473,DSM 18860,['141'],Methanoculleus receptaculi
25474,DSM 11474,"['621a', '1536']",Sphingomonas sp.
25475,DSM 105381,"['92', '381']",Escherichia coli
25476,DSM 20454,"['92', '693']",Staphylococcus chromogenes
25477,DSM 25897,['830c'],Rehaibacterium terrae
25478,DSM 30096,['1'],Empedobacter sp.
25479,DSM 821,"['129', '393', '457', '830']",Aspergillus niger
25480,DSM 9758,['31'],Halalkalibacterium halodurans
25481,DSM 17909,['535'],Xenorhabdus doucetiae
25482,DSM 27261,['760'],Thermococcus paralvinellae
25483,DSM 25696,['693'],Timonella senegalensis
25484,DSM 40283,"['65', '84', 'J42', 'J45', 'J50']",Kitasatospora purpeofusca
25485,DSM 53025,['9'],Nannocystis exedens
25486,DSM 11978,['119'],Methanobrevibacter gottschalkii
25487,DSM 103059,['220'],Bacillus licheniformis
25488,DSM 22887,['220'],Psychrobacillus psychrotolerans
25489,DSM 26379,['535'],Xenorhabdus indica
25490,DSM 43272,"['354', '645']",Mycobacterium sp.
25491,DSM 46196,['426'],Actinomadura pelletieri
25492,DSM 102751,['830'],Sphingomonas sp.
25493,DSM 12506,"['92', 'J26']",Microbacterium aurantiacum
25494,DSM 46137,"['65', '553', 'J42', 'J52']",Actinoplanes cyaneus
25495,DSM 22093,['1477'],Caloramator quimbayensis
25496,DSM 14458,"['1', '956']",Methylorubrum suomiense
25497,DSM 30611,['220'],Stenotrophomonas sp.
25498,DSM 51899,['9'],Corallococcus exiguus
25499,DSM 6385,"['457', '545']",Bacillus benzoevorans
25500,DSM 5727,['129'],Tremella indecorata
25501,DSM 44325,"['65', '84', '553', 'J58']",Spirilliplanes yamanashiensis
25502,DSM 51131,['9'],Corallococcus coralloides
25503,DSM 112944,['381'],Phage (phagum)
25504,DSM 19755,['1076b'],Spiroplasma chinense
25505,DSM 45157,"['65', '514', '535', '1065']",Nocardiopsis terrae
25506,DSM 24308,['693'],Campylobacter jejuni
25507,DSM 43073,"['214', '354']",Mycobacterium phlei
25508,DSM 114417,['381'],Phage (phagum)
25509,DSM 17129,['1028'],Thermincola carboxydiphila
25510,DSM 17833,"['1', '535']",Pseudomonas peli
25511,DSM 106838,['220'],Acinetobacter baumannii
25512,DSM 100207,"['535', 'J26', 'J43', 'J256']",Tsukamurella sinensis
25513,DSM 105516,['830'],Dermacoccus nishinomiyaensis
25514,DSM 43749,"['65', 'J51']",Saccharothrix longispora
25515,DSM 17368,"['1168', 'J118']",Owenweeksia hongkongensis
25516,DSM 41315,"['65', '252']",Streptomyces sp.
25517,DSM 16761,"['11', 'J13', 'J84']",Lactobacillus kitasatonis
25518,DSM 7317,['31'],Bacillus sp.
25519,DSM 15764,"['92', 'J28', 'J256']",Cellulomonas denverensis
25520,DSM 17047,"['830', 'J75']",Chryseobacterium antarcticum
25521,DSM 40484,"['65', '987']",Streptomyces sp.
25522,DSM 43017,"['83', 'J49']",Micropolyspora internatus
25523,DSM 14480,"['1', '92']",Exiguobacterium antarcticum
25524,DSM 109191,"['1', '535']",Pseudomonas zhaodongensis
25525,DSM 103240,['232'],Oenococcus alcoholitolerans
25526,DSM 40743,"['65', '84', 'J45', 'J61']",Streptomyces djakartensis
25527,DSM 44518,['877'],Blastococcus sp.
25528,DSM 41200,"['65', '252']",Streptomyces rimosus subsp. rimosus
25529,DSM 27223,['282'],Methanocaldococcus bathoardescens
25530,DSM 110321,['92'],Staphylococcus aureus
25531,DSM 62087,['129'],Botryotinia convoluta
25532,DSM 15098,"['104', '110']",Clostridium isatidis
25533,DSM 29428,"['119', 'J198']",Methanobacterium aggregans
25534,DSM 31007,['220'],Peribacillus simplex
25535,DSM 110160,['1203'],Dubosiella muris
25536,DSM 44942,"['645', 'J386']",Mycobacterium arupense
25537,DSM 17037,"['92', '693']",Streptococcus equi subsp. ruminatorum
25538,DSM 30945,['65'],Streptomyces sp.
25539,DSM 52414,['9'],Myxococcus xanthus
25540,DSM 478,"['1', '92', '215', '535', '693', 'J12']",Bacillus sp.
25541,DSM 17676,"['381', '535']",Aeromonas veronii
25542,DSM 51209,['9'],Corallococcus coralloides
25543,DSM 3027,['321'],Methanocorpusculum aggregans
25544,DSM 45535,['65'],Nocardia amikacinitolerans
25545,DSM 40212,"['65', 'J45']",Streptomyces pseudovenezuelae
25546,DSM 30659,['220'],Micrococcus luteus
25547,DSM 6633,['92'],Vagococcus salmoninarum
25548,DSM 6018,['1'],Bacillus thuringiensis
25549,DSM 22707,['339a'],Faecalicatena sp.
25550,DSM 49,"['1', '9', '11', '31', '63', '65', '67', '90', '92', '104', '144', '186', '190', '215', '381', '428', '438', '524', '693', 'J14', 'J84', 'J124']",Serratia plymuthica
25551,DSM 10138,"['27', '1592', '1593', 'J138']",Rhodoferax fermentans
25552,DSM 106289,"['65', '215', '535', '830', '987']",Aeromicrobium chenweiae
25553,DSM 15934,"['92', 'J26']",Agromyces albus
25554,DSM 23447,"['514', 'J118']",Devosia subaequoris
25555,DSM 19320,"['830', 'J346']",Nocardioides bigeumensis
25556,DSM 70663,['186'],Hyphopichia burtonii
25557,DSM 937,"['1', '65', '92', '693', 'J22']",Streptomyces candidus
25558,DSM 101860,"['104', '693']",Parabacteroides sp.
25559,DSM 62397,['129'],Fusarium sambucinum var. sambucinum
25560,DSM 51099,['9'],Corallococcus coralloides
25561,DSM 63418,['90'],Trichocladium opacum
25562,DSM 23814,"['535', '693']",Advenella incenata
25563,DSM 53604,['9'],Sorangium cellulosum
25564,DSM 46181,['65'],Actinomadura madurae
25565,DSM 2925,"['90', '124', '129', '186', '545', '1527', 'J25', 'J30', 'J1177']",Acetobacterium carbinolicum
25566,DSM 44757,"['693', 'J28']",Corynebacterium spheniscorum
25567,DSM 41935,"['65', '84']",Streptomyces sp.
25568,DSM 116665,['92'],Pseudomonas aeruginosa
25569,DSM 29075,['535'],Pseudomonas sp.
25570,DSM 2344,"['110', '129', '514', '693', 'J118']",Aspergillus aculeatus
25571,DSM 44280,"['693', 'J26']",Corynebacterium afermentans subsp. afermentans
25572,DSM 53286,['9'],Sorangium cellulosum
25573,DSM 6597,"['78', '693', '1203a', 'J13', 'J14', 'J84']",Bacteroides uniformis
25574,DSM 861,"['92', '119', '310', '429', '1523', 'J26', 'J475', 'J1039']",Methanobrevibacter smithii
25575,DSM 1081,"['110', '130', '381', '514', '535', '693', '1203a', '1611', 'J14']",Helminthosporium sp.
25576,DSM 15027,"['282', 'J232']",Methanocaldococcus indicus
25577,DSM 45354,"['65', '553', 'J104']",Actinopolymorpha pittospori
25578,DSM 53723,['9'],Cystobacter velatus
25579,DSM 10163,['76'],Gottschalkia acidurici
25580,DSM 41358,['84'],Streptomyces sp.
25581,DSM 51756,['9'],Corallococcus coralloides
25582,DSM 557,"['1', '11', '52', '92', '186', '438', '693', 'J13', 'J25', 'J30']",Clostridium kluyveri
25583,DSM 51638,['9'],Corallococcus coralloides
25584,DSM 29415,"['92', '693']",Aeromonas caviae
25585,DSM 13045,['372'],Halococcus salifodinae
25586,DSM 18332,"['92', 'J26']",Microbacterium koreense
25587,DSM 30763,['220'],Kocuria rhizophila
25588,DSM 28142,['830'],Paraburkholderia insulsa
25589,DSM 45230,"['645', 'J386']",Mycobacterium alsense
25590,DSM 18323,"['1138', 'J546']",Halopiger xanaduensis
25591,DSM 40052,"['65', 'J43', 'J58']",Streptomyces netropsis
25592,DSM 8266,['90'],Pleurotus sapidus
25593,DSM 17079,['1421'],Natronorubrum thiooxidans
25594,DSM 112857,['231'],Philodulcilactobacillus myokonensis
25595,DSM 24985,"['92', 'J475']",Microbacterium neimengense
25596,DSM 17498,['585'],Afipia massiliensis
25597,DSM 100979,['220'],Acinetobacter indicus
25598,DSM 5702,['525a'],Methanohalophilus portucalensis
25599,DSM 19683,['381'],Escherichia coli
25600,DSM 100784,['514'],unclassified bacterium
25601,DSM 1645,"['78', '110', '141', '514', '514d', '1062', '1192']",Filifactor villosus
25602,DSM 1129,"['1', '129', '220', '381', '402', '514', '535', '584', '693', '736', '745', '746', '785', '819', '1203', '1203a', 'J26', 'J28', 'J194', 'J199', 'J326', 'J694']",Neurospora crassa
25603,DSM 105346,['1'],Dickeya aquatica
25604,DSM 102537,['830'],Sphingomonas sp.
25605,DSM 28449,['98'],Rhizobium mesoamericanum
25606,DSM 3989,"['78', 'J14']",Holdemanella biformis
25607,DSM 43092,['65'],Pseudonocardia halophobica
25608,DSM 53403,['9'],Sorangium cellulosum
25609,DSM 15091,"['1a', '457']",Comamonas sp.
25610,DSM 51316,['9'],Corallococcus coralloides
25611,DSM 102447,['830'],Massilia sp.
25612,DSM 9027,['381'],Escherichia coli
25613,DSM 100019,"['65', 'J26', 'J43']",Microlunatus endophyticus
25614,DSM 25134,['1'],Aquitalea magnusonii
25615,DSM 22842,['90'],Rhizoctonia solani
25616,DSM 53305,['9'],Sorangium cellulosum
25617,DSM 44980,['535'],Rhodococcus sp.
25618,DSM 107558,"['535', '987']",Rhodococcus spelaei
25619,DSM 9499,"['92', '215', '693']",Yersinia enterocolitica
25620,DSM 5563,"['1', '535', 'J22']",Pragia fontium
25621,DSM 19289,['830'],Massilia aerilata
25622,DSM 70877,"['129', '186', '393']",Komagataella pastoris
25623,DSM 24148,['693'],Campylobacter jejuni
25624,DSM 114158,['1592'],Nostoc muscorum
25625,DSM 52176,['9'],Myxococcus stipitatus
25626,DSM 12057,"['78', '1203']",Clostridioides difficile
25627,DSM 52138,['9'],Myxococcus fulvus
25628,DSM 2312,"['1', '514', '693', '830']",Heyndrickxia coagulans
25629,DSM 53500,['9'],Sorangium cellulosum
25630,DSM 27194,"['90', '129', '186']",Apiotrichum porosum
25631,DSM 46275,['220'],Serratia rubidaea
25632,DSM 1605,"['1', '92', '220', '496', '641', '1008', 'J388', 'J475', 'J541']",Micrococcus luteus
25633,DSM 45734,['65'],Nocardia vulneris
25634,DSM 100966,"['92', '693']",Fundicoccus ignavus
25635,DSM 5501,['494'],Acetohalobium arabaticum
25636,DSM 70095,['186'],Pichia fermentans
25637,DSM 11935,['90'],Hypocrea gelatinosa
25638,DSM 28040,['1a'],Pseudomonas granadensis
25639,DSM 24593,"['1', '1a']",Aeromonas rivipollensis
25640,DSM 45966,['1504'],Bounagaea algeriensis
25641,DSM 46743,"['65', '84']",Streptosporangium saharense
25642,DSM 17086,['220'],Pseudomonas stutzeri
25643,DSM 53360,['9'],Sorangium cellulosum
25644,DSM 5423,['514'],Psychroflexus gondwanensis
25645,DSM 102179,['776'],Microlunatus sp.
25646,DSM 43562,"['65', '535']",Rhodococcus ruber
25647,DSM 52844,['9'],Archangium violaceum
25648,DSM 6957,['186'],Lindnera suaveolens
25649,DSM 20231,"['92', '693', 'J12']",Staphylococcus aureus
25650,DSM 3704,['129'],Gliocladium viride
25651,DSM 5887,"['123', 'J118']",Thalassobius gelatinovorus
25652,DSM 26746,"['220', 'J75']",Paenibacillus algorifonticola
25653,DSM 13166,['897'],Ignicoccus pacificus
25654,DSM 22504,"['110', '693', 'J14']",Prevotella fusca
25655,DSM 102453,['98'],Mesorhizobium sp.
25656,DSM 25472,['693'],Arcobacter ellisii
25657,DSM 18998,['830'],Cohnella yongneupensis
25658,DSM 43011,"['104', '693']",Actinomyces israelii
25659,DSM 114567,"['514', '693']",Vibrio sp.
25660,DSM 29110,['11b'],Bifidobacterium sp.
25661,DSM 516,"['1', '9', '81', '220', '514b']",Cupriavidus necator
25662,DSM 8334,['90'],Pleurotus calyptratus
25663,DSM 41190,"['65', '252']",Streptomyces catenulae
25664,DSM 13019,['1'],Bacillus subtilis
25665,DSM 53323,['9'],Sorangium cellulosum
25666,DSM 6148,"['92', '693']",Staphylococcus aureus
25667,DSM 31009,['220'],Bacillus subtilis
25668,DSM 30788,['220'],Peribacillus simplex
25669,DSM 19573,"['104b', 'J674']",Ruminiclostridium sufflavum
25670,DSM 17983,"['1130', 'J168']",Haloplanus natans
25671,DSM 112015,['1735'],Kinneretia sp.
25672,DSM 20681,"['92', '693', 'J156']",Enterococcus malodoratus
25673,DSM 27206,"['372', 'J168', 'J169']",Haloferax alexandrinus
25674,DSM 110490,['1'],Psychrobacillus psychrodurans
25675,DSM 8960,['603'],Prosthecobacter fusiformis
25676,DSM 25232,['514'],Aquimarina amphilecti
25677,DSM 29760,['220'],Paenibacillus etheri
25678,DSM 112847,['92'],Klebsiella pneumoniae
25679,DSM 17860,['514'],Rheinheimera sp.
25680,DSM 12519,['514'],Arthrobacter sp.
25681,DSM 104275,['693'],Gardnerella vaginalis
25682,DSM 52268,['9'],Myxococcus virescens
25683,DSM 20076,"['11', 'J13', 'J84']",Lactobacillus delbrueckii subsp. lactis
25684,DSM 11858,"['129', 'J25', 'J30']",Fellomyces borneensis
25685,DSM 21112,['381'],Brevundimonas sp.
25686,DSM 24046,"['215', '693']",Enterococcus viikkiensis
25687,DSM 21626,"['141b', 'J262']",Methanoculleus horonobensis
25688,DSM 43080,"['219', '354']",Mycobacterium smegmatis
25689,DSM 52542,['9'],Myxococcus virescens
25690,DSM 102300,"['65', '84', '252']",Streptomyces mesophilus
25691,DSM 102686,['1'],Pseudomonas sp.
25692,DSM 17235,"['429', '693', 'J22']",Moraxella oblonga
25693,DSM 8392,['90'],Amanita citrina
25694,DSM 51078,['9'],Corallococcus coralloides
25695,DSM 100545,['92'],Bacillus mojavensis
25696,DSM 115454,['92'],Staphylococcus aureus
25697,DSM 16304,"['829c', 'J368']",Balnearium lithotrophicum
25698,DSM 43783,"['65', '658']",Thermoactinomyces vulgaris
25699,DSM 102958,"['514', 'J118']",Virgibacillus oceani
25700,DSM 21607,['514'],Vibrio nigripulchritudo
25701,DSM 108610,"['339', 'J282']",Sodaliphilus pleomorphus
25702,DSM 26813,"['830', '840']",Microvirga massiliensis
25703,DSM 2155,"['92', '104', '186', '194', '215', '246a', '514', '535', '693', '830', 'J26', 'J28', 'J118', 'J475', 'J708']",Saccharomyces cerevisiae
25704,DSM 16734,['1015'],Pseudomonas costantinii
25705,DSM 53019,['9'],Nannocystis exedens
25706,DSM 102523,['1'],Rhizobium sp.
25707,DSM 107810,"['830', 'J346']",Fluviispira multicolorata
25708,DSM 100116,['220'],Fontibacillus pullulanilyticus
25709,DSM 116067,['92'],Roseomonas mucosa
25710,DSM 25548,['514a'],Rhodopirellula baltica
25711,DSM 105250,['830'],Roseococcus sp.
25712,DSM 102687,['1'],Pseudomonas sp.
25713,DSM 52381,['9'],Myxococcus xanthus
25714,DSM 111138,['215'],Otoolea muris
25715,DSM 100939,['92'],Staphylococcus capitis
25716,DSM 12232,['191'],Verticillium longisporum
25717,DSM 44136,"['354', '645', 'J386']",Mycobacterium conspicuum
25718,DSM 14887,"['71', 'J93']",Acidithiobacillus thiooxidans
25719,DSM 22170,['220'],Paenibacillus hunanensis
25720,DSM 1254,"['190', '514', 'J28']",Blakeslea trispora
25721,DSM 23456,['830'],Labrenzia sp.
25722,DSM 20196,"['11', 'J13', 'J84']",Weissella confusa
25723,DSM 62883,['90'],Pestalotia hypericina
25724,DSM 16295,['1097'],Sulfurospirillum carboxydovorans
25725,DSM 45411,['535'],Rhodococcus sp.
25726,DSM 52482,['9'],Angiococcus sp.
25727,DSM 43009,"['65', '92', '693']",Nocardia brasiliensis
25728,DSM 41656,"['65', '84', '252', 'J42']",Kitasatospora paracochleata
25729,DSM 4906,['186'],Kluyveromyces marxianus
25730,DSM 45223,"['1108a', 'J618']",Calditerricola satsumensis
25731,DSM 52824,['9'],Archangium violaceum
25732,DSM 23624,['220'],Paenibacillus sp.
25733,DSM 53649,['9'],Hyalangium minutum
25734,DSM 41775,"['65', '84']",Streptomyces griseus subsp. griseus
25735,DSM 345,"['1', '92', '186', '191', '220', '342', '693', 'J25', 'J30']",Bacillus cereus
25736,DSM 16145,"['960', 'J362']",Pelotomaculum sp.
25737,DSM 772,"['65', '535']",Rhodococcus erythropolis
25738,DSM 4587,"['1', '65', '84', '252', '535', '553', '554', 'J12', 'J22', 'J43', 'J51', 'J61', 'J104']",Cedecea lapagei
25739,DSM 5667,['1'],Brevibacillus brevis
25740,DSM 5668,['1'],Aneurinibacillus migulanus
25741,DSM 119,"['1', '1a', '27', '90', '92', '97', '98', '119', '129', '141c', '186', '189', '191', '195c', '220', '372', '402', '429', '464', '464a', '514a', '665', '693', '760', '804', '818', '822', '830a', '926', '1523', 'J25', 'J26', 'J30', 'J168', 'J192']",Phaeospirillum sp.
25742,DSM 43968,['65'],Gordonia terrae
25743,DSM 21646,['830'],Limnohabitans australis
25744,DSM 115843,"['92', '693']",Enterococcus sp.
25745,DSM 24867,['514'],Demequina sediminicola
25746,DSM 45676,"['553', 'J57']",Pseudonocardia yuanmonensis
25747,DSM 15046,"['92', '693', 'J28']",Arthrobacter gandavensis
25748,DSM 43558,['65'],Pseudonocardia autotrophica
25749,DSM 5345,"['9', '381']",Escherichia coli
25750,DSM 106035,['220'],Psychrobacillus sp.
25751,DSM 18646,"['1411', 'J168']",Halorubrum ejinorense
25752,DSM 113861,['514f'],Vibrio lentus
25753,DSM 51585,['9'],Corallococcus coralloides
25754,DSM 40398,"['65', '554', 'J43', 'J61']",Actinomadura luteofluorescens
25755,DSM 110167,['339'],Clostridium chromiireducens
25756,DSM 46592,"['92', '693']",Providencia rettgeri
25757,DSM 13236,['830'],Paraburkholderia caribensis
25758,DSM 106203,['535'],Corynebacterium liangguodongii
25759,DSM 41572,['65'],Streptomyces lavendulae subsp. lavendulae
25760,DSM 45070,"['645', 'J26', 'J386']",Mycobacterium setense
25761,DSM 217,"['1', '11', '28', '31', '67', '92', '104', '104b', '104c', '141c', '189', '206', '207', '220', '246', '372', '429', '457', '464', '514', '514c', '514d', '535', '535b', '545', '693', '736', '740', '813b', '830', '959a', '1076b', '1157', '1210', 'J7', 'J14', 'J22', 'J26', 'J27', 'J28', 'J83', 'J84', 'J118', 'J475', 'J611', 'J724']",Thiocapsa roseopersicina
25762,DSM 52395,['9'],Myxococcus xanthus
25763,DSM 102053,['381'],Escherichia coli
25764,DSM 44677,"['645', 'J26', 'J386']",Mycobacterium boenickei
25765,DSM 62735,['129'],Kabatiella caulivora
25766,DSM 5968,['98'],Bradyrhizobium sp.
25767,DSM 2046,"['1', '58', '78', '104', '693', '1203a', 'J14', 'J22', 'J84']",Bacillus thuringiensis
25768,DSM 25170,['1426'],Occallatibacter savannae
25769,DSM 16657,"['1', 'J12']",Enterobacter cloacae subsp. dissolvens
25770,DSM 41325,"['65', '84']",Streptomyces sp.
25771,DSM 6091,['1'],Bacillus thuringiensis
25772,DSM 19115,['104'],Actinomyces dentalis
25773,DSM 44357,"['535', '535a', 'J26']",Corynebacterium singulare
25774,DSM 26168,['514'],Pseudomonas litoralis
25775,DSM 19372,['830'],Pseudoxanthomonas spadix
25776,DSM 115368,['535'],Phage (phagum)
25777,DSM 14723,"['9', '942', 'J436']",Cystobacter badius
25778,DSM 45600,"['65', '535', '553', '554', 'J61']",Micromonospora zamorensis
25779,DSM 10068,"['58', '92', '693', '711', 'J13']",Sporobacter termitidis
25780,DSM 430,"['1', '65', '80', '81', '82', '83', '84', '92', '104', '110', '119', '214', '215', '217', '218', '219', '251', '252', '354', '398', '399', '442', '444', '535', '550', '554', '645', '693', '830', 'J14', 'J26', 'J28', 'J42', 'J43', 'J44', 'J47', 'J48', 'J49', 'J50', 'J51', 'J52', 'J55', 'J57', 'J58', 'J61', 'J62', 'J66', 'J80', 'J84', 'J104', 'J106', 'J109', 'J180', 'J202', 'J213', 'J346']",Cupriavidus necator
25781,DSM 100316,['514'],Sinobacterium caligoides
25782,DSM 10832,['381'],Escherichia coli
25783,DSM 5772,['129'],Rhizopus arrhizus
25784,DSM 9343,"['1', '535']",Acinetobacter genospecies 3
25785,DSM 26606,['92'],Rhodococcus hoagii
25786,DSM 51091,['9'],Corallococcus coralloides
25787,DSM 42156,['65'],Streptomyces sp.
25788,DSM 8737,['90'],Oudemansiella canarii
25789,DSM 44396,"['65', '554']",Micromonospora coerulea
25790,DSM 51484,['9'],Corallococcus coralloides
25791,DSM 23403,['514'],Tritonibacter mobilis subsp. mobilis
25792,DSM 51008,['9'],Archangium disciforme
25793,DSM 108981,"['58', '339']",Lactobacillus johnsonii
25794,DSM 113860,['104c'],Faecalispora anaeroviscerum
25795,DSM 28035,['1515'],Oceanirhabdus sp.
25796,DSM 21969,"['92', '693']",Staphylococcus rostri
25797,DSM 102707,['98'],Rhizobium sp.
25798,DSM 11518,"['11', '28a']",Thiorhodococcus minor
25799,DSM 103434,['1611'],Faecalibacterium butyricigenerans
25800,DSM 17733,"['92', '514', 'J26', 'J475']",Nesterenkonia aethiopica
25801,DSM 6254,"['129', '189', '381']",Escherichia coli
25802,DSM 20584,"['58', '104', 'J13', 'J84']",Lactobacillus crispatus
25803,DSM 15720,['514'],Halomonas neptunia
25804,DSM 21523,['1113'],Leptospira wolbachii
25805,DSM 51791,['9'],Corallococcus coralloides
25806,DSM 19235,['585'],Legionella israelensis
25807,DSM 40135,"['65', 'J43', 'J66']",Streptomyces griseus subsp. griseus
25808,DSM 2319,"['1', '63', '535', '830', '1336', 'J443']",Bacillus smithii
25809,DSM 10249,"['1', '92', '535', '830', 'J22']",Paenibacillus kobensis
25810,DSM 53501,['9'],Sorangium cellulosum
25811,DSM 20229,"['92', '693', 'J12']",Staphylococcus saprophyticus subsp. saprophyticus
25812,DSM 100629,"['90', '129']",Lindgomyces madisonensis
25813,DSM 110443,['585'],Legionella pneumophila subsp. pneumophila
25814,DSM 19096,['830'],Ectobacillus panaciterrae
25815,DSM 43565,['65'],Rhodococcus ruber
25816,DSM 6151,"['370', '537']",Heliobacillus mobilis
25817,DSM 114430,"['1', '830']",Massilia antarctica
25818,DSM 102384,['1618'],Brevundimonas sp.
25819,DSM 28949,['514'],Sediminibacillus terrae
25820,DSM 45641,"['65', '84']",Microbispora sp.
25821,DSM 110539,['11'],Lactobacillus nasalidis
25822,DSM 52535,['9'],Myxococcus stipitatus
25823,DSM 18783,['92'],Citrococcus sp.
25824,DSM 52258,['9'],Myxococcus virescens
25825,DSM 24278,['830'],Polaromonas cryoconiti
25826,DSM 9386,"['92', '693', 'J12', 'J22']",Salmonella enterica subsp. arizonae
25827,DSM 26655,['1'],Salmonella enterica subsp. enterica
25828,DSM 51503,['9'],Corallococcus coralloides
25829,DSM 113046,['92'],Wohlfahrtiimonas chitiniclastica
25830,DSM 22258,['215'],Actinobacillus arthritidis
25831,DSM 26147,['514c'],Vibrio variabilis
25832,DSM 102970,['1621'],Marinibactrum halimedae
25833,DSM 11337,['129'],Metarhizium flavoviride
25834,DSM 110117,['1'],Priestia megaterium
25835,DSM 109511,['220'],Bacillus subtilis
25836,DSM 107098,"['271', 'J860']",Acidithiobacillus ferrianus
25837,DSM 27612,['92'],Enteractinococcus lamae
25838,DSM 17130,"['220', '381']",Sphingosinicella xenopeptidilytica
25839,DSM 4425,"['53', '65', '92', '372', '535', '693', '737', '1536', 'J43', 'J52', 'J168']",Haloferax denitrificans
25840,DSM 102647,['830'],Methylobacterium sp.
25841,DSM 16635,['11'],Ligilactobacillus apodemi
25842,DSM 53048,['9'],Nannocystis exedens
25843,DSM 102164,['104'],Blautia sp.
25844,DSM 30690,['220'],Stenotrophomonas maltophilia
25845,DSM 41896,"['65', '84']",Streptomyces phaeoluteigriseus
25846,DSM 44094,"['252', '554', 'J217']",Sphaerisporangium cinnabarinum
25847,DSM 20426,"['92', 'J22']",Brevibacterium aurantiacum
25848,DSM 53339,['9'],Sorangium bulgaricum
25849,DSM 1018,"['1', '11', '65', '84', '90', '92', '104', '129', '215', '220', '252', '383b', '429c', '514', '514d', '535', '553', '693', '830', '1429', '1585a', '1609', 'J75', 'J282', 'J346']",Pholiota aurivella
25850,DSM 25022,"['1', '830']",Pleomorphomonas diazotrophica
25851,DSM 25218,"['92', '535']",Nocardioides albertanoniae
25852,DSM 30851,['1'],Pantoea agglomerans
25853,DSM 51377,['9'],Corallococcus coralloides
25854,DSM 51972,['9'],Myxococcus fulvus
25855,DSM 52230,['9'],Myxococcus virescens
25856,DSM 41157,['65'],Streptomyces sp.
25857,DSM 43066,"['65', '535', 'J43', 'J57']",Rhodococcus erythropolis
25858,DSM 104093,['830'],Altererythrobacter lauratis
25859,DSM 100492,"['830', 'J346']",Nocardioides ginkgobilobae
25860,DSM 105181,"['1', '535']",Sphingobium aromaticivastans
25861,DSM 53162,['9'],Nannocystis pusilla
25862,DSM 11586,"['1', '428', '441']",Niveispirillum irakense
25863,DSM 108024,['104c'],unclassified bacterium
25864,DSM 25649,['535b'],Pseudomonas composti
25865,DSM 16921,"['220', 'J75']",Sporosarcina koreensis
25866,DSM 28792,['58'],Bifidobacterium commune
25867,DSM 51391,['9'],Corallococcus coralloides
25868,DSM 53576,['9'],Sorangium cellulosum
25869,DSM 24480,['1007'],Methylosinus sp.
25870,DSM 20097,['58'],Bifidobacterium longum subsp. suis
25871,DSM 24626,['381'],Escherichia coli
25872,DSM 22329,"['92', '830', 'J475']",Pedococcus dokdonensis
25873,DSM 5815,['1'],Bacillus thuringiensis
25874,DSM 106492,['830'],Kyrpidia spormannii
25875,DSM 102639,['1629'],Methylobacterium sp.
25876,DSM 102294,"['65', '83', '514', '535']",Glycomyces paridis
25877,DSM 4267,['186'],Saccharomyces cerevisiae
25878,DSM 104128,"['11', 'J853']",Apilactobacillus timberlakei
25879,DSM 7138,"['1', 'J22']",Mycoplana dimorpha
25880,DSM 13764,"['123', '514']",Tenacibaculum mesophilum
25881,DSM 21234,['585'],Legionella londiniensis
25882,DSM 7508,['514'],Pseudoalteromonas sp.
25883,DSM 102368,['92'],Acinetobacter sp.
25884,DSM 2253,"['78', '104', '104c', '189', '514', '535', '693', '830', '1105', '1208', 'J14', 'J282', 'J655', 'J1234']",Stropharia thrausta
25885,DSM 62281,['189'],Microdochium nivale var. majus
25886,DSM 15538,"['217', '693']",Schaalia suimastitidis
25887,DSM 17586,['514'],Marinobacterium halophilum
25888,DSM 44313,['535'],Rhodococcus opacus
25889,DSM 101993,['381'],Acinetobacter baumannii
25890,DSM 24701,['693'],Basilea psittacipulmonis
25891,DSM 44364,"['354', '645']",Mycobacterium ratisbonense
